molecule,scalar rel,ZPE,DBOC,SO rel,Total
N2,  -0.56, -14.12 ,  0.08  ,   0.00  ,  941.07
H2,  -0.01, -25.97 ,  0.22  ,   0.00  ,  432.46
F2,  -0.20, -5.50  ,  0.02  ,   -3.01 ,  154.44
O2,  -0.82, -9.56  ,  0.06  ,   -1.61 ,  493.39
CO,  -0.69, -12.98 ,  0.07  ,   1.20  ,  1071.82
C2H2, -1.14, -68.93 ,  0.50  ,   -0.76 ,  1626.06
C2H,  -1.12, -36.34 ,  0.23  ,   -0.76 ,  1075.23
CH2,  -0.63, -45.07 ,  0.11  ,   -0.38 ,  752.39
CH,  -0.18, -16.97 ,  -0.34 ,   -0.20 ,  334.70
CH3,  -0.72, -77.64 ,  0.19  ,  -0.38  ,   1209.93
CO2,  -2.05, -30.40 ,  0.20  ,   -2.02 ,  1598.10
H2O2, -1.63, -68.77 ,  0.52  ,   -1.64 ,  1054.81
H2O,  -1.14, -55.73 ,  0.53  ,   -0.82 ,  918.26
HCO,  -1.16, -34.03 ,  -0.10 ,   -1.20 ,  1132.11
HF,  -0.84, -24.66 ,  0.34  ,   -1.51 ,  566.01
HO2,  -1.20, -37.05 ,  0.02  ,   -1.64 ,  694.56
NO,  -0.83, -11.46 ,  0.06  ,   -0.10 ,  626.22
OH,  -0.54, -22.21 ,  0.05  ,   -0.04 ,  426.14
HNO,  -1.19, -35.92 ,  -0.23 ,   -0.82 ,  822.97
CN,  -0.63, -12.75 ,  0.10  ,   -0.38 ,  743.92
HCN,  -0.94, -41.74 ,  0.32  ,   -0.38 ,  1268.20
CF,  -0.72, -7.88  ,  0.03  ,   -1.42 ,  545.50
NH2,  -0.67, -49.57 ,  -0.03 ,   0.00  ,  713.95
NH3,  -1.08, -89.45 ,  0.56  ,   0.00  ,  1157.53
NH,  -0.31, -19.46 ,  -0.19 ,   0.00  ,  327.83
OF,  -0.41, -6.37  ,  0.02  ,   -1.24 ,  213.56
